Ticker,ref.date,price.adjusted,SMB,HML,RF,SP500Index
AMD,2021/11/1,158.369995,-1.32,-0.45,0,4567
AMD,2021/12/1,143.899994,-1.67,3.26,0.01,4766.18
AMD,2022/1/1,114.25,-5.94,12.75,0,4515.55
AMD,2022/2/1,123.339996,2.19,3.08,0,4373.94
AMD,2022/3/1,109.339996,-1.61,-1.81,0.01,4530.41
AMD,2022/4/1,85.519997,-1.39,6.17,0.01,4131.93
AMD,2022/5/1,101.860001,-1.83,8.39,0.03,4132.15
AMD,2022/6/1,76.470001,2.1,-5.97,0.06,3785.38
AMD,2022/7/1,94.470001,2.81,-4.05,0.08,4130.29
AMD,2022/8/1,84.870003,1.4,0.29,0.19,3955
AMD,2022/9/1,63.360001,-0.81,0.05,0.19,3585.62
AMD,2022/10/1,60.060001,0.06,8.01,0.23,3871.98
AMD,2022/11/1,77.629997,-3.52,1.38,0.29,4080.11
AMD,2022/12/1,64.769997,-0.69,1.37,0.33,3839.5
AMD,2023/1/1,75.150002,5.01,-4.01,0.35,4076.6
AMD,2023/2/1,78.580002,1.17,-0.81,0.34,3970.15
AMD,2023/3/1,98.010002,-5.51,-8.85,0.36,4109.31
AMD,2023/4/1,89.370003,-3.35,-0.04,0.35,4169.48
AMD,2023/5/1,118.209999,1.61,-7.72,0.36,4179.83
AMD,2023/6/1,113.910004,1.54,-0.26,0.4,4450.38
AMD,2023/7/1,114.400002,2.08,4.11,0.45,4588.96
AMD,2023/8/1,105.720001,-3.16,-1.06,0.45,4507.66
AMD,2023/9/1,102.82,-2.51,1.52,0.43,4288.05
AMD,2023/10/1,98.5,-3.87,0.19,0.47,4193.8
AMD,2023/11/1,121.160004,-0.02,1.64,0.44,4567.8
AMD,2023/12/1,147.410004,6.35,4.94,0.43,4769.83
MSFT,2000/1/1,30.283472,5.77,-1.88,0.41,1394.46
MSFT,2000/2/1,27.653502,21.36,-9.59,0.43,1366.42
MSFT,2000/3/1,32.874783,-17.2,8.13,0.47,1498.58
MSFT,2000/4/1,21.581322,-6.68,7.26,0.46,1452.43
MSFT,2000/5/1,19.357447,-6.05,4.75,0.5,1420.6
MSFT,2000/6/1,24.752773,12.84,-8.42,0.4,1454.6
MSFT,2000/7/1,21.600664,-3.07,8.31,0.48,1430.83
MSFT,2000/8/1,21.600664,-0.61,-1.39,0.5,1517.68
MSFT,2000/9/1,18.66127,-1.82,7.17,0.51,1436.51
MSFT,2000/10/1,21.310591,-3.88,5.71,0.56,1429.4
MSFT,2000/11/1,17.752384,-3.41,12.3,0.51,1314.95
MSFT,2000/12/1,13.420643,0.73,7.61,0.5,1320.28
MSFT,2001/1/1,18.89333,6.68,-5.07,0.54,1366.01
MSFT,2001/2/1,18.255178,-0.78,12.47,0.38,1239.94
MSFT,2001/3/1,16.920843,0.25,6.42,0.42,1160.33
MSFT,2001/4/1,20.962515,0.55,-4.67,0.39,1249.46
MSFT,2001/5/1,21.404966,2.5,3.36,0.32,1255.82
MSFT,2001/6/1,22.586922,6.24,-1.12,0.28,1224.38
MSFT,2001/7/1,20.479826,-4.19,5.21,0.3,1211.23
MSFT,2001/8/1,17.651827,2.48,2.31,0.31,1133.58
MSFT,2001/9/1,15.832489,-6.23,1.45,0.28,1040.94
MSFT,2001/10/1,17.992178,7.48,-7.65,0.22,1059.78
MSFT,2001/11/1,19.867203,-0.47,2.21,0.17,1139.45
MSFT,2001/12/1,20.498398,4.74,0.84,0.15,1148.08
MSFT,2002/1/1,19.712494,1.19,3.44,0.14,1130.2
MSFT,2002/2/1,18.050964,-1.01,2.16,0.13,1106.73
MSFT,2002/3/1,18.660501,4.21,1.06,0.13,1147.39
MSFT,2002/4/1,16.16975,5.96,3.88,0.15,1076.92
MSFT,2002/5/1,15.752048,-3.21,1.53,0.14,1067.14
MSFT,2002/6/1,16.924709,4.29,-0.05,0.13,989.82
MSFT,2002/7/1,14.845476,-5.28,-3.85,0.15,911.62
MSFT,2002/8/1,15.185825,-2.86,3.28,0.14,916.07
MSFT,2002/9/1,13.533587,2.4,1.47,0.14,815.28
MSFT,2002/10/1,16.544138,-3.41,-3.95,0.14,885.76
MSFT,2002/11/1,17.846752,3.18,-1.23,0.12,936.31
MSFT,2002/12/1,15.996479,0.09,2.14,0.11,879.82
